Contract Number,Vendor Number,Vendor Name,Amount,Description,System Release,Lead Department,Start Date,End Date,Category,Commodity Category
1885-17342,,MIDWEST PAVING EQUIPMENT INC,125000.00,6 HOT BOX ASPHALT RECYCLERS,07/31/2019,1500.COUNTY HIGHWAY DEPARTMENT,08/28/2019,08/27/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1885-17342-A1.pdf),
1630-15235,,IRON MOUNTAIN INC,30000.00,RECORD STORAGE SERVICES,08/01/2019,1305.PUBLIC GUARDIAN,05/16/2019,05/15/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1630-15235-A3.pdf),
1488-13855,,"PNC BANK, NATIONAL ASSOCIATION",,E-PAYABLES CARD PROGRAM (REVENUE GENERATING),08/01/2019,1020.COUNTY COMPTROLLER,08/01/2019,01/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1488-13855-A3.pdf),
1584-14483,,SOUTHLAND MEDICAL LLC,220000.00,AUTOPSY SUPPLIES,08/02/2019,1259.MEDICAL EXAMINER,09/15/2019,09/14/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1584-14483-A2.pdf),
1611-15559,,WASHBURN MACHINERY INC,30000.00,ON-SITE MAINTENANCE WASHERS,08/02/2019,1239.DEPARTMENT OF CORRECTIONS,08/22/2019,08/21/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1611-15559-A2.pdf),
1435-14005,,SKU CORPORATION,550000.00,2015 VRMS (VOTER REGISTRATION MANAGEMENT SYSTEM),08/02/2019,1111.COUNTY CLERK - ELECTION DIVISION,06/15/2019,06/14/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1435-14005-A1.pdf),
1945-17964,,JP SIMONS & COMPANY,5888.00,LINEAR FLORESCENT LAMPS AND BULBS,08/05/2019,1200.DEPT. OF FACILITIES/MGMT,08/12/2019,08/11/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1945-17964.pdf),
1812-17687,,PITNEY BOWES INC,16529.28,POSTAL MACHINE LEASES,08/05/2019,1210.OFFICE OF THE SHERIFF,08/01/2019,07/31/2021,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1812-17687.pdf),
1925-17752,,RUNCO OFFICE SUPPLY & EQUIPMENT COMPANY (INC),48969.00,RED JOURNALS,08/05/2019,1310.OFFICE OF THE CHIEF JUDGE,08/01/2019,07/31/2022,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1925-17752.pdf),
1928-17901,,MARTIN IMPLEMENT SALES,86600.00,12 TON DECK OVER WHEELS TILT BED TRAILERS,08/05/2019,1500.COUNTY HIGHWAY DEPARTMENT,08/07/2019,08/06/2021,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1928-17901.pdf),
1390-12818,,B2G NOW,33973.00,COMPLIANCE & CERTIFICATION FMPS MODULE (C2) HOSTED SERVICE,08/05/2019,1022.CONTRACT COMPLIANCE,07/26/2019,01/26/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1390-12818-A4.pdf),
1853-17658,,WESTCARE ILLINOIS INC,1556324.00,COGNITIVE BEHAVIORAL TREATMENT SERVICES,08/06/2019,1280.ADULT PROBATION DEPT.,08/01/2019,07/31/2022,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1853-17658.pdf),
1812-17716,,MEGGITT TRAINING SYSTEMS INC,63300.00,MAINTENANCE OF TARGET RETRIEVAL SYSTEM,08/06/2019,1210.OFFICE OF THE SHERIFF,08/05/2019,08/04/2022,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1812-17716.pdf),
1945-17886,,CHICAGO UNITED INDUSTRIES LTD,13617.92,HONDA MOTORS,08/06/2019,1265.EMERGENCY MANAGEMENT AGENCY,08/12/2019,08/11/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1945-17886.pdf),
1953-17843A,,MCDERMOTT CENTER,250000.00,SERVICES FOR PREGNANT AND POST-PARTUM INDIVIDUALS AWAITING TRIAL,08/06/2019,1205.JUDICIAL ADVISORY COUNCIL,09/01/2019,08/31/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1953-17843A.pdf),
1953-17843B,,THE CATHOLIC CHARITIES OF THE ARCHDIOCESEOF CHICAGO,250000.00,SERVICES FOR PREGNANT AND POST-PARTUM INDIVIDUALS AWAITING TRIAL,08/06/2019,1205.JUDICIAL ADVISORY COUNCIL,09/01/2019,08/31/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1953-17843B.pdf),
1735-16562,,THE ENVELOPE CONNECTION INC,,PRINTING OF COURT DIVERSION ENVELOPES,08/06/2019,1335.CLERK OF CRCT CRT OFF.OF CLERK,09/01/2019,08/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1735-16562-A1.pdf),
1614-15603,,GIMMAL LLC,106000.00,CONTRACT MANAGEMENT SYSTEM,08/06/2019,1030.CHIEF PROCUREMENT OFFICER,12/01/2019,11/30/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1614-15603-A2.pdf),
13-23-001,,AUNT MARTHAS YOUTH SERVICE CENTER INC,624229.00,PRE-TRIAL SERVICES AND EVENING REPORTING CENTER,08/06/2019,1326.JUVENILE PROBATION,10/01/2019,03/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/13-23-001-A6.pdf),
1790-16441,,CONSCISYS CORPORATION,39800.00,ELECTRONIC APPEALS SOFTWARE,08/08/2019,1335.CLERK OF CRCT CRT OFF.OF CLERK,07/01/2019,06/30/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1790-16441-A2.pdf),
1890-17232,,PROFESSIONAL DYNAMIC NETWORK,179137.00,LOCKERS - 26TH CAL,08/15/2019,1310.OFFICE OF THE CHIEF JUDGE,09/01/2019,08/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1890-17232-A1.pdf),
1745-16286,,MIDWEST MOVING & STORAGE INC,149000.00,COUNTY-WIDE MOVING SERVICES MASTER CONTRACT.,08/16/2019,1013.PLANNING & DEVELOPMENT,07/20/2019,07/19/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1745-16286-A1.pdf),
1745-16627,,JOHNSON CONTROLS FIRE PROTECTION LP,2295.00,ANNUAL FIRE PUMP TESTS & MAINTENANCE SERVICE,08/16/2019,1200.DEPT. OF FACILITIES/MGMT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1745-16627-A1.pdf),
1614-15614,,COLUMBUS US INC,77960.92,ACCOUNTING AND CASHIERING SYSTEM PROFESSIONAL SERVICES: SUPPORT/MAINTENANCE/SOFTWARE,08/16/2019,1110.COUNTY CLERK,12/14/2018,12/13/2019,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1614-15614-A1.pdf),
1555-14475-GC4,,OLD VETERAN CONSTRUCTION INC,0.01,2016 JOC PROGRAM,08/19/2019,1031.OFFICE OF ASSET MANAGEMENT,06/01/2016,05/31/2020,,
1645-15362,,JOHNSON PIPE AND SUPPLY CORP,,SAWS AND SAW BLADE SUPPLIES,08/21/2019,1259.MEDICAL EXAMINER,06/01/2019,05/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1645-15362-A2.pdf),
1685-15811,,A LAMP CONCRETE CONTRACTORS INC C/O BARRINGTON BANK & TRUST NA,34115.14,ROSELLE ROAD @ SCHAUMBURG ROAD,08/21/2019,1500.COUNTY HIGHWAY DEPARTMENT,08/02/2019,07/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1685-15811-A1.pdf),
1635-15467,,"BORNQUIST, INC",0.00,REPAIR MARLING COOLING TOWER,08/23/2019,1200.DEPT. OF FACILITIES/MGMT,03/13/2020,03/12/2021,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1635-15467-A1.pdf),
1535-14434,,PAPER SOLUTIONS,,FILE JACKETS AND FOLDERS,08/23/2019,1335.CLERK OF CRCT CRT OFF.OF CLERK,08/16/2019,02/15/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1535-14434-A1.pdf),
1623-15787,,SERVICE ENVELOPE CORPORATION,100000.00,PRINTED ENVELOPES,08/23/2019,,05/24/2019,02/23/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1623-15787-A1.pdf),
1912-17787,,LEGEND & WHITE,42368.85,CANINE FOOD,08/27/2019,1210.OFFICE OF THE SHERIFF,08/23/2019,08/22/2022,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1912-17787.pdf),
1945-17868,,JP SIMONS & COMPANY,118080.00,JOHNSON CONTROL PARTS AND ACCESSORIES,08/29/2019,1200.DEPT. OF FACILITIES/MGMT,09/03/2019,09/02/2022,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1945-17868.pdf),
1323-13201,,CBRE INC,149000.00,REAL ESTATE MANAGEMENT,08/29/2019,1027.OFFICE OF ECONOMIC DEVELOPMENT,08/15/2019,06/14/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1323-13201-A3.pdf),
1611-15463,,LAKESHORE RECYCLING SYSTEMS LLC,20000.00,PORTABLE TOILET RENTAL,08/29/2019,1210.OFFICE OF THE SHERIFF,09/01/2019,08/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1611-15463-A1.pdf),
1745-16520,,EWERT INC,,ILCO KEYS AND RELATED PRODUCTS,09/03/2019,1200.DEPT. OF FACILITIES/MGMT,09/05/2019,09/04/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1745-16520-A1.pdf),
1830-17616,,DELOITTE CONSULTING LLP,1046000.00,HEALTH & GROUP BENEFITS CONSULTING,09/05/2019,1008.RISK MANAGEMENT,07/31/2019,08/01/2022,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1830-17616.pdf),
1818-17644,,AVENU INSIGHTS AND ANALYTICS LLC,85000.00,20/20 SYSTEM MAINTENANCE AND SUPPORT,09/05/2019,1130.RECORDER OF DEEDS,09/04/2019,09/03/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1818-17644.pdf),
1925-17967,,KEVRON PRINTING & DESIGN INC,20121.44,2019 NEWSLETTER COMMISSIONER SEAN M. MORRISON,09/05/2019,1097.SEVENTEENTH DISTRICT,09/04/2019,09/03/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1925-17967.pdf),
1630-15618,,J J COLLINS & SONS INC,31112.50,JUROR SUMMONS ENVELOPES,09/05/2019,1310.OFFICE OF THE CHIEF JUDGE,12/01/2019,11/30/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1630-15618-A1.pdf),
1735-16418,,TRADEMARK PRODUCTS,,MAINTENANCE AND REPAIR ELECTRIC SEALS TIME STAMPS,09/06/2019,1335.CLERK OF CRCT CRT OFF.OF CLERK,09/01/2019,08/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1735-16418-A2.pdf),
1723-16927,,XEROX CORPORATION,1031889.50,FURNISH AND DELIVER WHEEL LOADER,09/10/2019,1011.OFFICE OF CHIEF ADMIN OFFICER,09/15/2019,09/14/2024,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1723-16927.pdf),
1830-17423A,,INSIGHT PUBLIC SECTOR INC,25000000.00,OFFICE TECHNOLOGY PRODUCTS AND RELATED SERVICES,09/10/2019,1009.ENTERPRISE TECHNOLOGY,09/09/2019,09/08/2024,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1830-17423A.pdf),
1830-17423B,,SHI INTERNATIONAL CORP,5000000.00,OFFICE TECHNOLOGY PRODUCTS AND RELATED SERVICES,09/10/2019,1009.ENTERPRISE TECHNOLOGY,09/09/2019,09/08/2024,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1830-17423B.pdf),
1853-17620,,SEDGWICK CLAIMS MANAGEMENT SERVICES INC,165000.00,UNEMPLOYMENT COMPENSATION CLAIMS PROGRAM SERVICES,09/10/2019,1008.RISK MANAGEMENT,10/01/2019,09/30/2022,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1853-17620.pdf),
1755-16537,,MCCANN INDUSTRIES INC,,FURNISH AND DELIVER WHEEL LOADER,09/10/2019,1500.COUNTY HIGHWAY DEPARTMENT,11/01/2019,01/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1755-165347-A2.pdf),
1555-14616,,"CAPITOL CEMENT COMPANY, INC",-394230.88,CENTER STREET IMPROVEMENT,09/10/2019,1031.OFFICE OF ASSET MANAGEMENT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1555-14616-A4.pdf),
1912-17934,,AXON ENTERPRISE,16440150.00,NEW CONTRACT FOR AXON,09/13/2019,1210.OFFICE OF THE SHERIFF,09/12/2019,09/11/2024,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1912-17934.pdf),
1555-14475-SW9-(069493.00),,FH PASCHEN SN NIELSEN ASSOCIATES LLC,1.00,2016 JOC PROGRAM,09/16/2019,1500.COUNTY HIGHWAY DEPARTMENT,,,,
1545-15147A,,LIZZETTE MEDINA & CO,,LANDSCAPING SERVICES,09/19/2019,1200.DEPT. OF FACILITIES/MGMT,07/01/2019,06/30/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1545-15147A-A2.pdf),
1611-15459R,,THE REMI GROUP LLC,475000.00,MAINTENANCE AND REPAIR OF SECURITY MACHINES,09/23/2019,1210.OFFICE OF THE SHERIFF,01/01/2020,12/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1611-15459R-A1.pdf),
1411-14271,,IDEMIA IDENTITY & SECURITY USA,,COMPUTER AIDED BOOKING SYSTEM (CABS),09/23/2019,1210.OFFICE OF THE SHERIFF,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1411-14271-A1.pdf),
1653-15530,,SYSTEM SOLUTIONS INC,1500000.00,HARDWARE MAINTENANCE,09/23/2019,1009.ENTERPRISE TECHNOLOGY,07/01/2020,06/30/2021,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15530-A2.pdf),
1585-14921,,GRAYBAR ELECTRIC COMPANY INC,200000.00,ELECTRICAL PRODUCTS AND SUPPLIES,09/23/2019,1200.DEPT. OF FACILITIES/MGMT,07/01/2019,06/30/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1585-14921-A2.pdf),
1555-15115,,STV HEERY PROGRAM MANAGEMENT,,CAPITAL PROGRAM MANAGEMENT SERVICES FOR PUBLIC SAFETY PORTFOLIO,09/23/2019,1031.OFFICE OF ASSET MANAGEMENT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1555-15115-A4.pdf),
1912-17839,,MCKESSON MEDICAL-SURGICAL GOV SOLUTIONS LLC(MMSGS),210000.00,NARCAN KITS,09/26/2019,1210.OFFICE OF THE SHERIFF,09/12/2019,06/30/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1912-17839.pdf),
1945-17941,,J P HOPKINS SEWER CONTRACTOR INC,92678.53,DIVISION 2 AND DIVISON 6 SEWER COLLAPSE REPAIRS,09/26/2019,1200.DEPT. OF FACILITIES/MGMT,06/20/2019,10/25/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1945-17941.pdf),
1945-17719,,STAPLES CONTRACT & COMMERCIAL LLC,247385.31,CUSTODIAL FLOOR CARE EQUIPMENT,09/26/2019,1200.DEPT. OF FACILITIES/MGMT,09/16/2019,09/15/2022,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1945-17719.pdf),
1530-14426,,CORVEL ENTERPRISE COMP INC,106640.00,GENERAL LIABILITY AND AUTOMOBILE CLAIMS ADMINISTRATOR/THIRD-PARTY ADMINISTRATOR SERVICES,09/26/2019,1008.RISK MANAGEMENT,12/01/2019,11/30/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1530-14426-A2.pdf),
1530-14318,,CANNON CONCHRAN MANAGEMENT,75000.00,ADMINISTRATIVE SERVICES FOR PATIENT ARRESTEE MEDICAL BILLS,09/26/2019,1008.RISK MANAGEMENT,11/01/2019,10/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1530-14318-A2.pdf),
1645-15812,,ADVANCED TECHNOLOGY INC,,"COLLECTION, RECYCLING AND DISPOSAL OF ELECTRONIC WASTE",09/26/2019,1200.DEPT. OF FACILITIES/MGMT,07/10/2019,07/09/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1645-15812-A1.pdf),
1388-12983,,DATABANK IMX LLC,211522.00,RE-ENGINEERING AND ONBASE SYSTEM IMPLEMENTATION,09/26/2019,1050.BOARD OF REVIEW,08/01/2019,07/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12983-A5.pdf),
1614-15623,,AZTECA SYSTEMS INC,45580.00,SOFTWARE LICENSE,09/26/2019,1500.COUNTY HIGHWAY DEPARTMENT,10/01/2019,09/30/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1614-15623-A1.pdf),
1718-16657,,GUIDEHOUSE LLP,3042420.00,CLERK'S IV&V,09/26/2019,1009.ENTERPRISE TECHNOLOGY,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1718-16657-A2.pdf),
1550-14323,,W W GRAINGER INC,,"MAINTENANCE, REPAIR AND OPERATIONS SUPPLIES, PARTS AND MATERIALS (MRO)",09/26/2019,1001.COUNTYWIDE,10/01/2019,09/30/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1550-14323-A1.pdf),
1945-17770,,COURTESY ELECTRIC INC,571710.00,"PREVENTATIVE MAINTENANCE, REPAIR & BATTERY REPLACEMENT FOR UNITERROPTIBLE POWER SYSTEMS",09/27/2019,1200.DEPT. OF FACILITIES/MGMT,09/16/2019,09/15/2022,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1945-17770.pdf),
1645-15585R,,CHICAGO UNITED INDUSTRIES LTD,,CEILING TILE SUPPLIES,09/27/2019,1200.DEPT. OF FACILITIES/MGMT,08/01/2019,07/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1645-15585R-A1.pdf),
1823-17707,,MIND YOUR MATTERS,1991200.00,CENSUS 2020 PROGRAM ADMINISTRATION SERVICES,09/30/2019,1027.OFFICE OF ECONOMIC DEVELOPMENT,10/01/2019,12/31/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1823-17707.pdf),
1923-17819,,CHICAGO UNITED INDUSTRIES LTD,32310.08,EMBEDDING WORKSTATIONS,10/01/2019,1259.MEDICAL EXAMINER,10/01/2019,09/30/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1923-17819.pdf),
1912-17815,,BOB BARKER COMPANY INC,1352821.00,MATTRESSES/PILLOWS AND COVERS,10/01/2019,1210.OFFICE OF THE SHERIFF,10/03/2019,10/02/2022,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1912-17815.pdf),
1868-17678,,GSG PROBE CONSULTING INC,94120.00,AIR MONITORING SERVICES CONTRACT,10/01/2019,1161.DEPT OF ENVIROMENTAL CTRL,10/01/2019,09/30/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1868-17678.pdf),
1388-13091,,MB REAL ESTATE,55000.00,REAL ESTATE PROPERTY MANAGEMENT,10/01/2019,1031.OFFICE OF ASSET MANAGEMENT,08/01/2019,07/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-13091-A3.pdf),
1684-15657,,ACORN GARAGE AUTO & TRUCK REPAIR,376475.00,MAINT. BUS/TRUCK,10/01/2019,1500.COUNTY HIGHWAY DEPARTMENT,12/19/2019,12/18/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1684-15657-A3.pdf),
1684-15226,,URT E & R TOWING INC,222037.00,COUNTYWIDE BUS/TRUCK REPAIR,10/01/2019,1500.COUNTY HIGHWAY DEPARTMENT,12/01/2019,11/30/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1684-15226-A3.pdf),
1953-17969,,RESEARCH PROS INC,75000.00,BROADBAND CONNECTIVITY AND DIGITAL INCLUSIVITY ISSUES,10/04/2019,1010.OFFICE OF THE PRESIDENT,10/01/2019,09/30/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1953-17969.pdf),
1885-17467,,PAGODA-CCI JV1,12953180.00,DIVISION I & IA DEMOLITION,10/04/2019,1013.PLANNING & DEVELOPMENT,10/21/2019,06/07/2021,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1885-17467.pdf),
1418-13402,,"COLUMN TECHNOLOGIES, INC.",14139.00,OFFICE OF THE INDEPENDENT INSPECTOR GENERAL CASE MGMT SOLUTION,10/04/2019,1009.ENTERPRISE TECHNOLOGY,10/05/2019,10/04/2019,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1418-13402-A3.pdf),
1553-14756,,AMC MECHANICAL INC,20000.00,REFRIGERATION EQUIPMENT MAINTENANCE AND REPAIRS,10/04/2019,1440.JUVENILE TEMPORARY DETENT.CNTR,08/15/2019,02/14/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1553-14756-A3.pdf),
1625-15460,,MEYERCORD REVENUE INC,38000.00,2016 CIGARETTE TAX STAMPS,10/04/2019,1007.REVENUE,08/19/2019,08/18/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1625-15460-A3.pdf),
1730-16580,,J J COLLINS & SONC INC,565500.00,"PRINTING, TAX BILL PAPER, ENVELOPES, BROCHURES, FOLDING AND INSERTING",10/04/2019,1060.COUNTY TREASURER,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1730-16580-A1.pdf),
1455-13465,,KNIGHT E/A INC,373258.46,DESIGN SERVICES FOR TOUHY AVENUE IMPROVEMENT,10/04/2019,1500.COUNTY HIGHWAY DEPARTMENT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1455-13465-A3.pdf),
1555-15115,,STV HEERY PROGRAM MANAGEMENT,,CAPITAL PROGRAM MANAGEMENT SERVICES FOR PUBLIC SAFETY PORTFOLIO,10/05/2019,1031.OFFICE OF ASSET MANAGEMENT,11/01/2019,11/30/2019,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1555-15115-A5.pdf),
1514-14742,,G TREASURY SS LLC,33313.68,HOSTED SERVICES ENT TREASURY PLATFORM,10/07/2019,1060.COUNTY TREASURER,09/01/2019,08/01/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1514-14742.pdf),
1553-14823,,TASK INC,43059.00,DRUG COURT ASSESSMENT EVALUATOR SERVICES,10/07/2019,1310.OFFICE OF THE CHIEF JUDGE,10/01/2019,12/31/2019,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1553-14823-A2.pdf),
1690-15576,,ALLIANCE AGAINST INTOXICATED MOTORISTS,45900.00,VICTIM IMPACT PANELS,10/07/2019,1313.SOCIAL CASEWORK SERVICES,10/12/2019,10/11/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1690-15576-A1.pdf),
1828-17365,,"PRODUCTION DISTRIBUTION COMPANIES, INC.",149000.00,TRAILER-MOUNTED IMPACT ATTENUATORS WITH ARROW BOARD,10/07/2019,1500.COUNTY HIGHWAY DEPARTMENT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1828-17365-A1.pdf),
1555-14475-GCSBE15-(058058.01),,PACIFIC CONSTRUCTION SERVICES INC,99462.65,"PROJECT ID: 23244 833? COUNTY BUILDING - COUNT?
118 N. CLARK - 4TH FLOOR RENOVATION (SECRETARY OF THE BOARD) SUPPLEMENTAL",10/09/2019,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-GCSBE15-(058058.01).pdf),
1923-17785,,CUMMINS - ALLISON CORP,29775.00,MAINTENANCE AND REPAIR OF CUMMINS ALLISON MONEY COUNTER MACHINES AND CITIZEN PRINTERS,10/10/2019,1335.CLERK OF CRCT CRT OFF.OF CLERK,10/15/2019,10/14/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1923-17785.pdf),
1645-15346,,"PRODUCTION DISTRIBUTION COMPANIES, INC.",,FILTER SUPPLIES REBID,10/10/2019,1200.DEPT. OF FACILITIES/MGMT,02/01/2020,01/31/2021,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1645-15346-A2.pdf),
1784-16393,,QUALITY EXCELLENCE INC,242328.00,PEST CONTROL SERVICES,10/15/2019,1210.OFFICE OF THE SHERIFF,09/26/2019,09/25/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1784-16393-A1.pdf),
1645-15469,,ANCHOR MECHANICAL INC,,ABB HVAC DRIVES,10/15/2019,1200.DEPT. OF FACILITIES/MGMT,10/17/2019,10/16/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1645-15469-A3.pdf),
1755-17024,,ARROW ROAD CONSTRUCTION,-449998.17,PAVEMENT PRESERVATION AND REHABILITATION PROGRAM - NORTH 2017 SECTION NO.: 16-PPRPN-00-PV,10/15/2019,1500.COUNTY HIGHWAY DEPARTMENT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1755-17024-A1.pdf),
1555-14475-GC1-(040767.04),,FH PASCHEN SN NIELSEN ASSOCIATES LLC,23378.95,PROJECT ID:24086 589? COUNTYWIDE EMERGENCY?,10/17/2019,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-GC1-(040767.04).pdf),
1555-14475-EC8-(061538.01),,SHARLEN ELECTRIC COMPANY,37849.39,PROJECT ID: 23328 931? PROVIDENT - PARKING STR?,10/17/2019,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-EC8-(061538.01).pdf),
1928-17939,,JOHN KENO AND COMPANY INC,401000.54,PROJECT ID: 24073 JHS STORMWATER SEWER AND IRRIGATION REPL,10/18/2019,1031.OFFICE OF ASSET MANAGEMENT,10/18/2019,11/29/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1928-17939.pdf),
1685-15344,,GARLAND/DBS INC,,ROOFING SUPPLIES,10/22/2019,1200.DEPT. OF FACILITIES/MGMT,09/26/2019,09/25/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1685-15344-A3.pdf),
1955-17738,,GALLAGHER ASPHALT CORPORATION,485974.16,"PAVEMENT PRESERVATION AND REHABILITATION PROGRAM SOUTH 2019, SECTION NUMBER: 19-PPRPS-00-PV",10/22/2019,1500.COUNTY HIGHWAY DEPARTMENT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1955-17738-A1.pdf),
1555-14475-GCSBE15-(044371.01),,PACIFIC CONSTRUCTION SERVICES INC,-54686.27,PROJECT ID: 24105 609? DOC - CERMAK HOSPITA?,10/22/2019,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-GCSBE15-(044371.01).pdf),
1555-14475-SW10-(059332.01),,MQ SEWER AND WATER CONTRACTORS D/B/A,5116.95,PROJECT ID: 23276 865? COUNTYWIDE PS - SIDEWALK ROAD AND PARKING LOT,10/22/2019,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-SW10-(059332.01).pdf),
