Type of Service,Aggregation Level,State/ Territory,County,Number of Fee-for-Service Beneficiaries,Number of Providers,Average Number of Users per Provider,Percentage of Users out of FFS Beneficiaries,Average Number of Providers per County,Moratorium State/County,Number of Fee-for-Service Beneficiaries Colors - Single Color Scale,Number of Fee-for-Service Beneficiaries Colors - Dual Color Scale,Number of Fee-for-Service Beneficiaries Description,Number of Providers Colors - Single Color Scale,Number of Providers Colors - Dual Color Scale,Number of Providers Description,Average Number of Users per Provider Colors - Single Color Scale,Average Number of Users per Provider Colors - Dual Color Scale,Average Number of Users per Provider Description,Percentage of Users out of FFS Beneficiaries Colors - Single Color Scale,Percentage of Users out of FFS Beneficiaries Colors - Dual Color Scale,Percentage of Users out of FFS Beneficiaries Description,Average Number of Providers per County Colors - Single Color Scale,Average Number of Providers per County Colors - Dual Color Scale,Average Number of Providers per County Description
Ambulance,COUNTY,MN,Murray,1457,1,81,5.6%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Nicollet,2540,3,62.7,7.4%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MN,Nobles,2712,1,80,2.9%,1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Norman,916,1,38,4.1%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Olmsted,14731,8,210.4,11.4%,8,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MN,Otter Tail,6251,8,134.4,17.2%,8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MN,Pennington,1224,1,151,12.3%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Pine,2814,3,44.7,4.8%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MN,Pipestone,1398,2,89.5,12.8%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Polk,3509,4,83.3,9.5%,4,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MN,Pope,1292,1,47,3.6%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Ramsey,36443,14,495.3,19%,14,No,ORANGE 5,GREEN 5,"Extreme Values (More than 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 319 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,MN,Red Lake,264,1,49,18.6%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Redwood,1871,5,30.8,8.2%,5,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MN,Renville,1960,6,39.8,12.2%,6,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MN,Rice,4539,4,36,3.2%,4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MN,Rock,1347,2,25,3.7%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Roseau,1111,1,88,7.9%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,St. Louis,22249,25,145.9,16.4%,25,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 5,GREEN 5,Extreme Values (More than 22 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 5,GREEN 5,Extreme Values (More than 22 Providers)
Ambulance,COUNTY,MN,Scott,6142,5,131.6,10.7%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MN,Sherburne,5073,6,106.3,12.6%,6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MN,Sibley,1346,6,31.7,14.1%,6,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MN,Stearns,11203,6,200,10.7%,6,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MN,Steele,2971,3,133.3,13.5%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MN,Stevens,994,1,165,16.6%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Swift,1223,1,63,5.2%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Todd,2060,6,32,9.3%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MN,Traverse,555,0,,6.8%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Wabasha,2120,6,54.8,15.5%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MN,Wadena,1634,1,58,3.5%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Waseca,1757,2,55.5,6.3%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Washington,14411,15,148.6,15.5%,15,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,MN,Watonwan,1304,4,49.3,15.1%,4,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MN,Wilkin,751,1,99,13.2%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MN,Winona,5024,6,119.8,14.3%,6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MN,Wright,6840,7,118.4,12.1%,7,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MN,Yellow Medicine,1432,2,31.5,4.4%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Adair,4282,2,258.5,12.1%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Andrew,2928,3,114,11.7%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Atchison,1380,2,81.5,11.8%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Audrain,4450,3,171,11.5%,3,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Barry,5584,6,74.5,8%,6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Barton,2367,3,101,12.8%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Bates,3152,4,29,3.7%,4,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Benton,5165,6,99.2,11.5%,6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Bollinger,2564,4,72,11.2%,4,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Boone,19634,10,40.7,2.1%,10,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Buchanan,15383,8,262.5,13.7%,8,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Butler,9508,11,129.5,15%,11,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,MO,Caldwell,1745,4,47,10.8%,4,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Callaway,7192,3,265.7,11.1%,3,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Camden,10365,8,123.4,9.5%,8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Cape Girardeau,13516,6,258.2,11.5%,6,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Carroll,1975,4,76,15.4%,4,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Carter,1446,5,36.2,12.5%,5,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Cass,11682,16,103.4,14.2%,16,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,MO,Cedar,2747,1,70,2.5%,1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Chariton,1780,3,73.7,12.4%,3,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Christian,8850,2,128,2.9%,2,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
